,Width,Height,Aspect_Ratio
count,750.0,750.0,750.0
mean,1034.428,878.8506666666667,1.18573256781665
std,778.1235976760679,627.2579946258038,0.441551643476267
min,206.0,252.0,0.45982142857142855
25%,480.0,448.0,0.7087053571428571
50%,865.5,720.0,1.3333333333333333
75%,1300.0,1044.0,1.5006253451951124
max,7662.0,5692.0,3.0
